Soil;G;qt ;fs;u;gamma;mq;Rf
Mining tailing - bauxit;"3,037";"642,3";"10,21";"340,26";"16,44";"42,82";"2,09"
Mining tailing - bauxit;"3,037";"870,76";"16,34";;"16,25";"43,538";"2,22"
Mining tailing - bauxit;"3,034";"127,63";"0,5";"100,75";"14,93";"63,815";"0,47"
Mining tailing - bauxit;"3,022";"162,42";"0,87";"118,05";"17,49";"54,14";"0,58"
Mining tailing - bauxit;"2,983";"166,69";"0,8";"136,89";"15,51";"41,6725";"-0,05"
Mining tailing - bauxit;"3,049";"202,55";"2,43";"152,16";"17,54";"40,51";"1,02"
Mining tailing - bauxit;"3,108";"217,4";"3,34";"172,05";"20,7";"36,23333333";"1,28"
Mining tailing - bauxit;"3,041";"243,06";"3,66";"195,51";"17,63";"34,72285714";"2,05"
Mining tailing - bauxit;"3,018";"286,61";"4,14";"212,5";"16,23";"35,82625";"1,96"
Mining tailing - bauxit;"3,012";"304,78";"3,88";"241,17";"17,88";"33,86444444";"1,81"
Mining tailing - bauxit;"3,031";"344,28";"4,51";"266,37";"18,55";"34,428";"1,66"
Mining tailing - bauxit;"3,04";"398,39";"4,82";"286,21";"17,17";"36,21727273";"2,34"
Mining tailing - bauxit;"3,054";"461,43";"5,06";"314,29";"18,79";"38,4525";"1,31"
Mining tailing - bauxit;"3,043";"562,56";"5,68";"333,29";"19,17";"43,27384615";"1,32"
Mining tailing - bauxit;"3,14";"649,89";"6,71";"353,38";"17,84";"46,42071429";"1,34"
Mining tailing - bauxit;"3,097";"752,56";"8,43";"364,61";"17,91";"50,17066667";"1,29"
Mining tailing - bauxit;"3,056";"807,06";"6,82";"393,35";"17,7";"50,44125";1
Mining tailing - bauxit;"3,094";"931,26";"10,07";"424,75";"18,64";"54,78";"1,21"
Mining tailing - bauxit;"3,044";"1008,57";"11,01";"431,88";"17,52";"56,03166667";"1,24"
Mining tailing - bauxit;"3,143";"1021,29";"10,79";"449,72";"16,49";"53,75210526";"1,11"
Mining tailing - bauxit;"3,028";"1073,56";"12,4";"451,51";"15,58";"53,678";"1,05"
Mining tailing - bauxit;"3,077";"836,1038667";"8,08866667";"49,734";"18,19";"232,2510741";"0,92"
Mining tailing - bauxit;"3,022";"1313,734167";"12,204";"123,251667";"18,39";"145,970463";"0,81"
Mining tailing - bauxit;"3,045";"1038,4726";"11,6106667";"209,988667";"18,38";"108,1742292";"1,16"
Mining tailing - bauxit;"3,077";"836,1038667";"8,08866667";"49,734";"18,09";"232,2510741";"0,92"
Mining tailing - bauxit;"3,022";"1313,734167";"12,204";"123,251667";"17,8";"145,970463";"0,81"
Mining tailing - bauxit;"3,045";"1038,4726";"11,6106667";"209,988667";"18,25";"108,1742292";"1,16"
Mining tailing - bauxit;"3,016";"992,0395333";"13,3563333";"93,224";"18,19";"330,6798444";"1,2"
Mining tailing - bauxit;"3,017";"957,3148";"11,103";"102,519633";"18,12";"265,9207778";"1,18"
Mining tailing - bauxit;"3,117";"1120,993133";"12,975";"263,382667";"18,09";"124,5547926";"1,08"
Mining tailing - bauxit;"3,014";"1147,5152";"10,7696667";"289,310667";"18,13";"119,5328333";"0,63"
Mining tailing - bauxit;"3,017";"957,3148";"11,103";"102,519633";"18,16";"265,9207778";"1,18"
Mining tailing - bauxit;"3,117";"1120,993133";"12,975";"263,382667";"18,06";"124,5547926";"1,08"
Mining tailing - bauxit;"3,014";"1147,5152";"10,7696667";"289,310667";"18,22";"119,5328333";"0,63"
Mining tailing - bauxit;"3,064";"595,4715667";"7,373";"70,7163333";"18,01";"165,4087685";"1,35"
