Soil;G;qt ;fs;u;gamma;mq;Rf
Sand;"2,7";"2212,369";"11,54";"148,665";"18,83355504";"170,1822308";"1,62"
Sand;"2,7";"3153,7595";"17,025";"102,245";"19,18938788";"225,2685357";"0,6"
Sand;"2,7";"3294,253";"24,13";"114,53";"19,89252067";"219,6168667";"0,52"
Sand;"2,7";"2392,946";"17,215";"171,585";"19,95980924";"149,559125";"0,77"
Sand;"2,7";"1778,3355";"9,575";"376,46";"20,1985722";"104,6079706";"0,62"
Sand;"2,7";"4159,034";"14,525";"205,15";"20,65056135";"231,0574444";"0,45"
Sand;"2,7";"4246,473";"20,135";"195,315";"21,54287499";"223,4985789";"0,25"
Sand;"2,7";"1148,5015";"10,56";"871,795";"15,18013145";"57,425075";"0,77"
Sand;"2,7";"1068,698";"14,61";"670,94";"15,26019395";"50,89038095";"1,58"
Sand;"2,7";"5680,877";"17,255";"65,285";"15,16695338";"258,2216818";"0,23"
Sand;"2,7";"9199,6285";"18,115";"205,695";"20,70670555";"399,9838478";"0,21"
Sand;"2,7";"9830,3065";"17,345";"212,73";"19,22980031";"409,5961042";"0,16"
Sand;"2,7";"5811,624";"17,805";"243,855";"19,66771495";"232,46496";"0,31"
Sand;"2,7";"7745,2155";"16,005";"218,52";"20,40933166";"297,8929038";"0,2"
Sand;"2,7";"7052,405";"17,185";"275,095";"21,42350285";"251,8716071";"0,25"
Sand;"2,7";"3767,4555";"22,385";"217,12";"21,10711836";"129,9122586";"1,96"
Sand;"2,7";"6811,802";"16,215";"214,04";"21,24197356";"227,0600667";"0,25"
Sand;"2,7";"2131,051";"7,49";"10,205";"19,25285886";"710,3503333";"0,26"
Sand;"2,7";"15038,3485";"55,295";"37,62";"20,00889025";"2506,391417";"0,4"
Sand;"2,7";"7280,6415";"25,38";"30,56";"20,27010373";"1040,091643";"0,6"
Sand;"2,7";"13951,6155";"50,155";"60,76";"20,00889025";"1743,951938";"0,34"
Sand;"2,7";"18053,419";"80,7";"59,265";"19,58383601";"2005,935444";"0,44"
Sand;"2,7";"16153,438";"58,965";"73,925";"19,35736893";"1615,3438";"0,29"
Sand;"2,7";"5934,0085";"19,515";"89,26";"19,25693998";"539,4553182";"0,12"
Sand;"2,7";"2427,7835";"11,55";"108,15";"20,66318754";"202,3152917";"0,36"
Sand;"2,7";"966,26";"4,035";"209,36";"18,83355504";"74,32769231";"0,38"
Sand;"2,7";"2038,4235";"13,09";"157,715";"19,18938788";"145,6016786";"0,95"
Sand;"2,7";"3284,1565";"21,435";"120,82";"19,89252067";"218,9437667";"0,61"
Sand;"2,7";"3157,697";"19,2";"127,855";"19,95980924";"197,3560625";"2,35"
Sand;"2,7";"1967,272";"7,105";"304,98";"20,1985722";"115,7218824";"0,39"
Sand;"2,7";"4066,76";"18,78";"208,815";"20,65056135";"225,9311111";"0,3"
Sand;"2,7";"1181,6885";"18,765";"500,56";"21,54287499";"62,19413158";"1,53"
Sand;"2,7";"1535,875";"18,625";"1164,535";"15,18013145";"76,79375";"1,42"
Sand;"2,7";"1065,8805";"16,48";"808,52";"15,26019395";"50,75621429";"1,04"
Sand;"2,7";"4925,678";"17,14";"127,495";"15,16695338";"223,8944545";"0,29"
Sand;"2,7";"6895,89";"17,775";"168,12";"20,70670555";"299,8213043";"0,26"
Sand;"2,7";"9522,785";"23,5";"232,86";"19,22980031";"396,7827083";"0,25"
Sand;"2,7";"8089,038";"18,05";"250,825";"19,66771495";"323,56152";"0,21"
Sand;"2,7";"3058,894";"14,1";"269,665";"20,40933166";"117,6497692";"0,6"
Sand;"2,7";"5402,3985";"13,365";"237,61";"21,42350285";"192,9428036";"0,16"
Sand;"2,7";"7392,661";"14,205";"84,605";"21,10711836";"254,9193448";"0,2"
Sand;"2,7";"11192,997";"56,59";"235,74";"21,24197356";"373,0999";"0,14"
Sand;"2,7";"3131,759";"8,465";"19,295";"19,25285886";"1043,919667";"0,27"
Sand;"2,7";"8434,0525";"22,765";"47,89";"20,00889025";"1405,675417";"0,29"
Sand;"2,7";"14377,9435";"44,82";"61,28";"20,27010373";"2053,991929";"0,37"
Sand;"2,7";"17782,396";"56,13";"65,945";"20,00889025";"2222,7995";"0,26"
Sand;"2,7";"20655,3515";"61,245";"56,35";"19,58383601";"2295,039056";"0,35"
Sand;"2,7";"11127,558";"23,58";"88,86";"19,35736893";"1112,7558";"0,29"
Sand;"2,7";"6766,0825";"12,725";"108,22";"19,25693998";"615,0984091";"0,19"
Sand;"2,7";"2263,543";"16,2";"152,33";"20,66318754";"188,6285833";"0,85"
Sand;"2,7";"3078,6555";"17,595";"103,22";"18,83355504";"236,8196538";"0,59"
Sand;"2,7";"3540,31";"21,07";"125,82";"19,18938788";"252,8792857";"0,72"
Sand;"2,7";"1590,814";"14,345";"304,03";"19,89252067";"106,0542667";"0,91"
Sand;"2,7";"2086,2625";"15,49";"327,735";"19,95980924";"130,3914063";"0,93"
Sand;"2,7";"7902,5595";"23,17";"162,965";"20,1985722";"464,8564412";"0,28"
Sand;"2,7";"6756,0155";"30,4";"177,895";"20,65056135";"375,3341944";"0,35"
Sand;"2,7";"1786,489";"18,88";"986,01";"21,54287499";"94,02573684";"1,35"
Sand;"2,7";"4646,6515";"24,87";"62,68";"15,18013145";"232,332575";"0,52"
Sand;"2,7";"6325,392";"20,125";"189,86";"15,26019395";"301,2091429";"0,24"
Sand;"2,7";"8467,6695";"23,02";"202,505";"15,16695338";"384,8940682";"0,29"
Sand;"2,7";"7145,683";"21,295";"219,605";"20,70670555";"310,6818696";"0,24"
Sand;"2,7";"5212,702";"28,985";"251,73";"19,22980031";"217,1959167";"0,58"
Sand;"2,7";"6822,2295";"27,915";"255,35";"19,66771495";"272,88918";"0,5"
Sand;"2,7";"13952,4875";"70,78";"-43,32";"20,40933166";"536,6341346";"0,4"
Sand;"2,7";"5743,7485";"26,555";"291,52";"21,42350285";"205,133875";"1,43"
Sand;"2,7";"3449,909";"7,85";"21,58";"19,25285886";"1149,969667";"0,19"
Sand;"2,7";"8789,9545";"45,155";"46,62";"20,00889025";"1464,992417";"0,56"
Sand;"2,7";"13157,7845";"41,34";"56,6";"20,27010373";"1879,6835";"0,31"
Sand;"2,7";"14619,017";"43,53";"64,54";"20,00889025";"1827,377125";"0,2"
Sand;"2,7";"15451,4275";"48,545";"74,22";"19,58383601";"1716,825278";"0,32"
Sand;"2,7";"8563,565";"43,535";"83,45";"19,35736893";"856,3565";"0,54"
Sand;"2,7";"3669,2805";"15,2";"102,04";"19,25693998";"333,5709545";"0,14"
Sand;"2,7";"2493,486";"16,74";"72,275";"20,66318754";"207,7905";"0,53"
Sand;"2,7";"3889,2195";"21,225";"107,79";"18,83355504";"299,1707308";"0,69"
Sand;"2,7";"3064,241";"19,465";"139,64";"19,18938788";"218,8743571";"0,74"
Sand;"2,7";"1513,6365";"14,82";"302,67";"19,89252067";"100,9091";"0,83"
Sand;"2,7";"2628,425";"17,175";"284,55";"19,95980924";"164,2765625";"0,61"
Sand;"2,7";"15777,477";"50,22";"155,155";"20,1985722";"928,0868824";"0,34"
Sand;"2,7";"12446,7945";"37,175";"178,73";"20,65056135";"691,4885833";"0,33"
Sand;"2,7";"1987,8915";"22,62";"1228,805";"21,54287499";"104,6258684";"1,47"
Sand;"2,7";"2126,215";"23,105";"725,755";"15,18013145";"106,31075";"1,15"
Sand;"2,7";"6116,9515";"18,43";"185,245";"15,26019395";"291,2834048";"0,29"
Sand;"2,7";"8812,755";"23,255";"196,26";"15,16695338";"400,5797727";"0,28"
Sand;"2,7";"8325,524";"21,77";"203,14";"20,70670555";"361,9793043";"0,26"
Sand;"2,7";"7743,2795";"23,095";"240,215";"19,22980031";"322,6366458";"0,27"
Sand;"2,7";"6531,6565";"35,43";"82,225";"19,66771495";"261,26626";"0,52"
Sand;"2,7";"7728,818";"30,115";"247,635";"20,40933166";"297,2622308";"0,24"
Clay;"2,67";"2219,2";"29,43";"1241,27";"17,86";"67,24848485";"1,53"
Clay;"2,67";"2256,48";35;"1232,8";"17,86";"67,76216216";"2,17"
Clay;"2,67";"2290,68";"32,05";"1237,9";"17,86";"68,175";"2,21"
Clay;"2,671";"2243,33";"31,77";"1212,43";"17,54";"64,09514286";"1,58"
Clay;"2,671";"2330,3";"33,96";"1300,37";"17,54";"66,01416431";"1,66"
Clay;"2,671";"2232,49";"34,05";"1260,34";"17,54";"62,71039326";"2,41"
Clay;"2,682";"2651,41";"42,51";"1390,73";"17,56";"69,77394737";"1,97"
Clay;"2,682";"2650,47";"40,96";"1416,77";"17,56";"69,38403141";"1,81"
Clay;"2,682";"2627,49";"41,07";"1406,8";"17,56";"68,42421875";"1,78"
Clay;"2,701";"2237,34";"32,55";"1242,46";19;"67,79818182";"1,92"
Clay;"2,701";"2259,45";"34,01";"1198,97";19;"67,85135135";"1,69"
Clay;"2,701";"2368,16";"32,16";"1199,3";19;"70,48095238";"2,46"
Clay;"2,703";"2260,53";"39,87";"1244,81";"17,36";"64,58657143";"2,03"
Clay;"2,703";"2264,77";"39,87";"1270,82";"17,36";"64,34005682";"2,26"
Clay;"2,703";"2268,61";"36,14";"1291,75";"17,36";"64,08502825";"1,99"
Clay;"2,686";"2684,29";"47,3";"1374,04";"17,17";"70,63921053";"2,13"
Clay;"2,686";"2581,65";"46,25";"1335,11";"17,17";"67,40600522";"2,33"
Clay;"2,686";"2507,51";"39,28";"1344,54";"17,17";"64,96139896";"1,82"
Clay;"2,671";"2308,07";"26,56";"1215,25";"17,64";"69,94151515";"1,38"
Clay;"2,671";"2290,77";"31,07";"1182,51";"17,64";"68,79189189";2
Clay;"2,671";"2229,08";"28,17";"1194,89";"17,64";"66,34166667";"1,6"
Clay;"2,706";"2335,74";"27,52";"1226,44";"17,51";"66,73542857";"1,35"
Clay;"2,706";"2346,55";"28,26";"1232,57";"17,51";"66,47450425";"1,4"
Clay;"2,706";"2348,51";"27,56";"1241,72";"17,51";"65,96938202";"1,46"
Clay;"2,71";"2538,04";"39,57";"1354,07";"17,52";"66,79052632";"1,99"
Clay;"2,71";"2538,04";38;"1312,61";"17,52";"66,26736292";"1,78"
Clay;"2,71";"2611,94";"38,61";"1284,46";"17,52";"67,66683938";"1,35"
Sand;"2,664";"200,84";"1,2";"94,45";"18,73";"83,68333333";"0,62"
Sand;"2,671";"188,09";"1,6";114;"13,28";"69,66296296";"0,87"
Sand;"2,643";"293,33";"1,8";"171,05";"14,14";"55,34528302";"0,54"
Clay;"2,406";"299,8";"7,05";"7,35";"14,55";"149,9";"1,27"
Clay;"2,406";"214,67";"10,5";"42,38";"14,55";"93,33478261";"1,52"
Clay;"2,406";"236,51";"7,23";"45,95";"14,55";"93,11417323";"3,99"
Clay;"2,284";"701,96";"18,28";"2,5";"13,73";"242,0551724";"0,67"
Clay;"2,284";"347,3";"18,96";"-46,69";"13,73";"108,53125";"7,76"
Clay;"2,284";"341,44";"9,83";"-45,2";"13,73";"97,55428571";"2,12"
Clay;"2,548";"885,41";"2,71";"75,03";"13,4";"147,5683333";"0,27"
Clay;"2,548";"1494,14";"2,9";"83,05";"13,4";"237,1650794";"0,21"
Clay;"2,548";"1900,17";"8,84";"85,47";"13,4";"287,9045455";"0,45"
Clay;"2,358";"401,84";"4,54";"199,88";"11,85";"57,40571429";"1,25"
Clay;"2,358";"488,25";"11,27";194;"11,85";"66,88356164";"1,85"
Clay;"2,358";"385,54";"8,4";"205,8";"11,85";"50,72894737";"3,25"
Silt;"2,65";"478,57";"12,19";"32,38";"19,48";"239,285";"2,07"
Silt;"2,65";"398,01";"13,41";"-5,83";"19,48";"173,0478261";"2,98"
Silt;"2,65";"264,98";"6,93";"-11,66";"19,48";"101,9153846";"3,04"
Silt;"2,556";"367,77";"26,14";"70,29";"9,84";"91,9425";"7,88"
Silt;"2,556";"355,49";"26,03";"96,83";"9,84";"82,67209302";"8,67"
Silt;"2,556";"327,31";"9,13";"135,7";"9,84";"71,15434783";"3,85"
Silt;"2,616";"355,76";"7,4";"184,78";"15,35";"59,29333333";"2,3"
Silt;"2,616";"372,99";"7,39";"189,1";"15,35";"59,2047619";"2,2"
Silt;"2,616";"390,14";"6,71";"193,05";"15,35";"59,11212121";"2,18"
Silt;"2,508";"211,41";"23,12";"10,08";"13,96";"140,94";"9,99"
Silt;"2,508";"182,75";"13,68";"28,96";"13,96";"101,5277778";"4,52"
Silt;"2,508";"138,15";"4,37";"37,11";"13,96";"65,78571429";"2,79"
Silt;"2,691";"120,85";"1,58";"63,17";"20,31";"34,52857143";"1,48"
Silt;"2,691";"142,99";"1,59";"67,73";"20,31";"37,62894737";"1,3"
Silt;"2,691";"164,69";"2,84";"70,34";"20,31";"40,16829268";"3,37"
Silt;"2,613";"636,19";"18,17";"-6,5";"13,63";"318,095";"2,53"
Silt;"2,613";"636,19";"26,55";"17,13";"13,63";"276,6043478";"2,73"
Silt;"2,613";"582,33";"21,38";"49,91";"13,63";"223,9730769";"5,06"
Silt;"2,652";"342,58";"3,57";"185,75";"14,21";"68,516";"1,26"
Silt;"2,652";"345,41";"3,71";"188,45";"14,21";"65,17169811";"1,2"
Silt;"2,652";"347,64";"6,29";"195,45";"14,21";"62,07857143";"2,98"
Silt;"2,629";"362,61";"5,47";"229,76";"15,28";"40,29";"1,75"
Silt;"2,629";"381,5";"5,39";"235,81";"15,28";"41,02150538";"1,82"
Silt;"2,629";"389,92";"6,11";"242,88";"15,28";"40,61666667";"2,6"
Silt;"2,596";"224,14";"2,06";"78,65";"15,04";"97,45217391";"3,5"
Silt;"2,596";"259,6";"4,39";77;"15,04";"99,84615385";"0,94"
Silt;"2,575";"400,34";"8,92";"48,58";"16,62";"133,4466667";"1,68"
Silt;"2,575";"430,7";"11,74";"47,24";"16,62";"130,5151515";3
Silt;"2,575";"463,69";"12,42";"51,1";"16,62";"128,8027778";"0,75"
Clay;"2,659";"210,32";706;"28,07";"13,58";"105,16";"3,87"
Clay;"2,659";"228,79";"3,61";67;"13,58";"99,47391304";"1,75"
Clay;"2,659";"252,85";"3,02";"113,23";"13,58";"97,25";"1,43"
Clay;"2,688";"308,26";"3,18";"136,06";"17,03";"77,065";"0,54"
Clay;"2,688";"327,68";"2,28";"113,11";"17,03";"76,20465116";"0,7"
Clay;"2,688";"299,91";"1,85";"137,46";"17,03";"65,19782609";"0,7"
Clay;"2,612";"478,46";"7,64";"175,29";"14,57";"93,81568627";"1,57"
Clay;"2,612";"474,51";"8,74";"110,45";"14,57";"87,87222222";"3,15"
Clay;"2,612";"479,25";8;"143,94";"14,57";"84,07894737";"1,64"
Sand;"2,671";"433,62";"13,09";"52,32";15;"180,675";"3,1"
Sand;"2,671";"256,64";"8,28";"53,26";15;"95,05185185";"3,55"
Sand;"2,671";"249,18";"8,35";"42,15";15;"83,06";"0,31"
Silt;"2,628";"386,96";"5,7";"-1,72";"15,91";"52,22132254";"1,91"
Silt;"2,628";"360,16";"5,09";"14,6";"15,91";"46,77402597";"1,72"
Silt;"2,628";"403,96";"4,46";"61,28";"15,91";"50,495";"1,08"
Silt;"2,703";"720,07";"7,67";"368,49";"14,69";"50,00486111";"1,26"
Silt;"2,703";767;"7,63";"363,01";"14,69";"52,14140041";"0,98"
Silt;"2,703";"792,85";"7,72";"361,91";"14,69";"52,85666667";"0,98"
Clay;"2,645";"170,4";"1,64";"24,89";"13,87";"113,6";"0,53"
Clay;"2,645";"152,68";"1,34";"44,82";"13,87";"87,24571429";"1,92"
Clay;"2,645";"128,28";"-0,03";"79,97";"13,87";"64,14";"0,12"
Sand;"2,617";"184,95";"0,84";"102,66";"17,76";"44,03571429";"0,3"
Sand;"2,617";"202,44";"0,64";"129,69";"17,76";"44,00869565";"0,38"
Sand;"2,617";"214,28";"0,33";"141,13";"17,76";"44,64166667";"0,18"
Clay;"2,677";"733,08";"4,83";"377,73";"17,2";"56,39076923";"0,93"
Clay;"2,677";"725,59";"5,54";"373,86";"17,2";"54,5556391";"1,49"
Clay;"2,677";"716,88";"7,16";"368,01";"17,2";"52,71176471";"2,03"
Sand;"2,594";"224,03";"5,97";"113,21";"14,16";"74,67666667";"3,03"
Sand;"2,594";"237,01";"4,89";"122,73";"14,16";"71,82121212";"2,25"
Sand;"2,594";"275,88";"3,91";"123,76";"14,16";"76,63333333";"2,65"
Sand;"2,685";"580,63";"5,63";"118,65";"18,38";"72,57875";1
Sand;"2,685";"539,46";"7,81";"159,65";"18,38";"64,99518072";"0,77"
Sand;"2,685";"523,34";"6,83";"197,38";"18,38";"60,85348837";"1,62"
Sand;"2,638";"824,62";"6,11";"417,29";"18,5";"60,63382353";"0,31"
Sand;"2,638";"869,11";"9,24";"433,18";"18,5";"62,52589928";"1,61"
Sand;"2,638";"888,93";"12,36";"429,59";"18,5";"62,60070423";"1,07"
Sand;"2,669";"1568,39";"9,95";"110,32";"16,54";"196,04875";"1,16"
Sand;"2,669";"2182,45";"10,74";"71,68";"16,54";"262,9457831";"0,38"
Sand;"2,669";"2372,62";"16,69";"81,9";"16,54";"275,8860465";"0,46"
Silt;"2,675";"926,36";"8,81";"370,07";"16,05";"92,636";"1,25"
Silt;"2,675";"894,6";"7,71";"421,29";"16,05";"86,85436893";"0,93"
Silt;"2,675";"889,12";"7,51";"406,85";"16,05";"83,87924528";"0,97"
Sand;"2,648";"1032,16";"11,72";"507,95";"16,31";"79,39692308";"1,14"
Sand;"2,648";"1121,02";"12,73";"554,4";"16,31";"84,28721805";"1,29"
Sand;"2,648";"1166,17";"13,36";"557,27";"16,31";"85,74779412";"1,3"
Silt;"2,416";"244,76";"2,69";"20,68";"11,68";"101,9833333";"1,48"
Silt;"2,416";"288,6";"2,97";"22,25";"11,68";"106,8888889";"0,71"
Silt;"2,416";"849,05";"3,16";"-6,22";"11,68";"283,0166667";"0,18"
Silt;"2,661";"505,88";"1,9";"214,47";"15,44";"72,26857143";"0,46"
Silt;"2,661";"515,97";"3,16";"224,97";"15,44";"70,68082192";"0,93"
Silt;"2,661";"506,03";"3,99";"220,27";"15,44";"66,58289474";"0,61"
Silt;"2,644";"883,12";"10,18";"379,07";"15,15";"58,87466667";"1,38"
Silt;"2,644";"898,74";"8,79";"396,72";"15,15";"58,74117647";"1,23"
Silt;"2,644";"893,97";"7,41";"428,05";"15,15";"57,30576923";"1,04"
Clay;"2,653";"397,70969";"3,4625853";"198,84885";"14,6";"46,67954108";"0,99"
Clay;"2,653";"403,240995";"4,1766685";"187,4033";"14,6";"46,03207705";"0,97"
Clay;"2,653";"394,497455";"4,43445";"192,849";"14,6";"43,73585976";"1,34"
Clay;"2,666";"359,79246";"1,856815";"213,3712";"15,42";"34,29861392";"0,62"
Clay;"2,666";"380,82516";"1,9522485";"214,32895";"15,42";"35,45858101";"0,6"
Clay;"2,666";"385,77417";"2,2638725";"212,1268";"15,42";"35,10229026";"0,84"
Clay;"2,674";"524,61086";"7,859";"239,03175";"14,62";"43,71757167";"1,86"
Clay;"2,674";"541,02654";"7,8590425";"251,65275";"14,62";"44,20151471";"1,6"
Clay;"2,674";"686,74165";"8,3931883";"225,2322";"14,62";"54,939332";"1,36"
Clay;"2,583";"316,14";"6,5";"83,29";"14,16";"63,228";"2,48"
Clay;"2,583";"310,55";"4,22";"88,27";"14,16";"58,59433962";"1,21"
Clay;"2,583";"313,19";"3,62";"100,05";"14,16";"55,92678571";"1,2"
Clay;"2,649";"660,51";"21,94";"-14,2";"15,34";"268,5";"1,58"
Clay;"2,649";"485,4";"13,13";"46,93";"15,34";"177,1532847";"2,17"
Clay;"2,649";"436,67";"12,75";"52,07";"15,34";"145,5566667";"3,61"
Clay;"2,564";"307,44";"2,23";"134,37";"14,23";"51,24";"0,83"
Clay;"2,564";"299,89";"2,13";"148,46";"14,23";"47,9824";"0,72"
Clay;"2,564";"288,9";"1,91";"157,49";"14,23";"44,44615385";"0,5"
Clay;"2,708";"423,75";"8,12";"-0,6";"15,68";"176,5625";"0,59"
Clay;"2,708";"338,61";"7,86";"17,26";"15,68";"125,4111111";"2,28"
Clay;"2,708";"568,54";"8,52";"17,94";"15,68";"189,5133333";"1,99"
Clay;"2,646";"340,44";"2,4";"114,14";"16,09";"77,37272727";"0,07"
Clay;"2,646";"363,94";"3,32";"152,31";"16,09";"73,67206478";"1,04"
Clay;"2,646";"510,27";"9,48";"148,35";"16,09";"92,77636364";"6,14"
Clay;"2,71";"828,43";"8,07";"22,62";"16,77";"276,1433333";"0,18"
Clay;"2,71";"1718,08";"5,06";"23,3";"16,77";"530,2716049";"0,84"
Clay;"2,71";"1403,29";"5,8";"21,95";"16,77";"400,94";"0,21"
Clay;"2,726";"334,02";"8,92";"120,99";"14,51";"55,67";"2,73"
Clay;"2,726";"332,05";"4,94";"137,93";"14,51";"53,21314103";"1,58"
Clay;"2,726";"400,32";"4,32";"148,33";"14,51";"61,58769231";"1,47"
Clay;"2,728";"2551,99";"4,81";"87,74";"13,4";"283,5544444";"0,25"
Clay;"2,728";"2663,02";"5,73";"90,46";"13,4";"288,2056277";"0,2"
Clay;"2,728";"1953,59";"6,38";"93,47";"13,4";"205,6410526";"0,61"
Clay;"2,697";"290,55";2;"69,4";"16,14";"96,85";"1,6"
Clay;"2,697";"267,1";"1,18";"88,06";"16,14";"82,4382716";"0,5"
Clay;"2,697";"287,3";"1,18";"56,96";"16,14";"82,08571429";"0,41"
Clay;"2,691";"388,87";"5,03";"154,41";"15,44";"64,81166667";"1,46"
Clay;"2,691";464;"10,43";"143,39";"15,44";"74,35897436";"9,45"
Clay;"2,691";"602,95";"26,3";"136,64";"15,44";"92,76153846";"2,48"
Clay;"2,651";"432,43";"9,25";"174,9";"14,77";"86,486";"1,38"
Clay;"2,651";"477,08";"9,3";"187,45";"14,77";"90,01509434";"1,82"
Clay;"2,651";"524,13";"9,25";"205,3";"14,77";"93,59464286";"1,41"
Clay;"2,654";"700,895";10;"343,1";"16,2";"87,611875";"1,48"
Clay;"2,654";"718,09";"10,2";"331,95";"16,2";"86,51686747";"1,31"
Clay;"2,654";"532,27";"9,02";"283,05";"16,2";"61,89186047";"3,03"
Silt;"2,882";"693,7";"1,8";"24,7";"15,87";"277,48";"1,04"
Silt;"2,882";"470,95";"0,8";"36,1";"15,87";"174,4259259";"1,25"
Silt;"2,882";"372,01";"0,9";"167,65";"15,87";"120,0032258";"0,24"
Silt;"3,014";"1175,82";"21,35";"9,6";"17,19";"235,164";"1,24"
Silt;"3,014";"671,39";"12,84";"76,1";"17,19";"126,6773585";"1,48"
Silt;"3,014";"585,21";"7,6";"171,95";"17,19";"104,5017857";"3,59"
Silt;"3,021";"680,42";"6,85";"362,85";"16,36";"97,20285714";"0,95"
Silt;"3,021";"641,86";"14,8";"109,05";"16,36";"87,9260274";"1,49"
Silt;"3,021";"1725,45";"19,2";"65,6";"16,36";"227,0328947";"0,16"
Silt;"2,969";"614,95";"32,5";"22,8";"15,75";"245,98";"4,49"
Silt;"2,969";"466,66";"29,2";"35,45";"15,75";"172,837037";"5,81"
Silt;"2,969";"406,27";"25,15";"304,4";"15,75";"131,0548387";"6,77"
Sand;"3,013";"2144,96";"38,9";"10,35";"16,15";"389,9927273";"3,46"
Sand;"3,013";"466,8";"26,55";"62,1";"16,15";"80,48275862";"8,66"
Sand;"3,013";"487,75";"23,2";"86,65";"16,15";"79,95901639";"5,35"
Silt;"2,951";"585,62";"26,3";"332,05";"17,03";"83,66";"5,98"
Clay;"2,47";"47,0342";"2,33084";"13,1164";"12,28";"27,66717647";"4,955628032"
Clay;"2,56";"100,8502";"3,25458";"49,0238";"11,9";"27,25681081";"3,227142832"
Clay;"2,48";"118,8476";"2,92936";"83,4802";"12,41";"20,85045614";"2,464803665"
Clay;"2,44";"183,022";"3,2089";"102,854";"12,2";"24,08184211";"1,75328649"
Clay;"2,41";"279,6778";"8,5173";"167,4136";"12,59";"29,43976842";"3,045397239"
Clay;"1,743";"60,98";"5,02556";"4,1326";"10,2";"45,17037037";"8,241325025"
Clay;"2,176";"133,73";"4,92008";"33,1934";"10,89";"46,92280702";"3,679114634"
Clay;"2,543";"149,83";"2,87202";"43,6254";"12,75";"37,93164557";"1,916852433"
Clay;"2,66";"175,16";"3,3438";"58,0544";"16,87";"37,11016949";"1,908997488"
Clay;"2,459";"192,82";"6,61292";"93,0766";"12,36";"32,40672269";"3,429581994"
Clay;"2,438";"225,044";"4,8646";"116,3796";"11,97";"32,38043165";"2,161621727"
Clay;"1,743";"61,969";"5,51914";"16,5376";"10,2";"45,90296296";"8,906291856"
Clay;"2,176";"96,535";"4,83636";"36,7276";"10,89";"33,87192982";"5,009954939"
Clay;"2,543";"107,8354";"2,6105";"56,9586";"12,75";"27,30010127";"2,420819137"
Clay;"2,66";"263,533";"3,64864";"48,7578";"16,87";"55,83326271";"1,38450972"
Clay;"2,459";"187,7792";"8,1866";"69,5014";"12,36";"31,55952941";"4,35969479"
Clay;"2,438";"165,3062";"4,78";"119,6026";"11,97";"23,78506475";"2,891603582"
Clay;"1,715";"812,01";"12,948";"-77,3418";"10,01";"560,0068966";"1,594561643"
Clay;"1,813";"1830,628";"16,47618";"13,88";"10,2";"813,6124444";"0,900028843"
Clay;"2,337";"2007,476";"32,82984";"40,3468";"10,59";"581,8771014";"1,635378953"
Clay;"2,523";"318,57";"10,67104";"22,082";"11,67";"71,58876404";"3,349668833"
Clay;"2,503";"382,972";"33,0025";"29,3682";"11,87";"70,27009174";"8,617470729"
Clay;"2,455";"207,402";"6,10948";"120,0528";"12,16";"32,15534884";"2,945718942"
Clay;"2,552";"224,28";"4,80514";"134,4216";"11,58";"30,10469799";"2,142473694"
Clay;"2,545";"233,596";"5,68298";"140,3016";"11,97";"27,64449704";"2,432824192"
Clay;"2,337";"288,736";"5,27122";"187,5564";"11,77";"27,63023923";"1,825619251"
Clay;"2,43";"356,956";"5,73176";"217,7024";"12,65";"28,67116466";"1,605732919"
Clay;"2,45";"546,338";"18,3895";"252,9128";"11,87";"37,80885813";"3,365956606"
Clay;"1,715";"93,4124";"8,66134";"12,3614";"10,01";"64,42234483";"9,272152305"
Clay;"1,813";"78,7348";"4,8624";"19,97";"10,2";"34,99324444";"6,175668192"
Clay;"2,337";"86,9572";"2,08314";"33,216";"10,59";"25,20498551";"2,395592314"
Clay;"2,523";"111,7798";"2,99598";"52,12";"11,67";"25,11905618";"2,680251709"
Clay;"2,503";"138,0354";"2,7117";"80,8986";"11,87";"25,32759633";"1,964496064"
Clay;"2,455";"162,6106";"3,04776";"91,529";"12,16";"25,21094574";"1,874268959"
Clay;"2,552";"194,6434";"3,29648";"111,391";"11,58";"26,12663087";"1,69359968"
Clay;"2,545";"223,5954";"4,3492";"122,4264";"11,97";"26,46099408";"1,945120517"
Clay;"2,337";"304,6762";"5,54154";"173,205";"11,77";"29,15561722";"1,818829301"
Clay;"2,43";"396,3656";"16,40494";"172,125";"12,65";"31,83659438";"4,138840505"
Clay;"2,45";"404,307";"10,70554";"208,896";"11,87";"27,97972318";"2,647874017"
Clay;"2,469";"875,92";"22,8767";"125,4746";"16,1";"117,5731544";"2,611733948"
Clay;"2,469";"584,034";"11,11";"171,1446";"16,1";"74,68465473";"1,902286511"
Clay;"2,469";"617,87";"11,7528";"333,3684";"16,1";"75,35";"1,902147701"
Clay;"2,451";"665,69";"9,06132";"367,4242";"15,2";"73,96555556";"1,361192146"
Clay;"2,451";"608,684";"12,04308";"337,8049";"15,2";"64,92629333";"1,978543875"
Clay;"2,451";"712,266";"11,57026";"428,0204";"15,2";"73,05292308";"1,624429637"
Clay;"2,463";"719,608";"13,8997";"452,8022";"15,1";"65,41890909";"1,931565519"
Clay;"2,463";"682,442";"12,4424";"443,2328";"15,1";"59,9949011";"1,823217211"
Clay;"2,463";"677,872";"10,934";"450,6962";"15,1";"57,69123404";"1,612988883"
